iter	Passed	Remaining
0	174	174688
1	188	94268
2	203	67693
3	218	54380
4	232	46351
5	247	40920
6	261	37087
7	277	34384
8	289	31881
9	301	29852
10	314	28231
11	326	26873
12	338	25733
13	351	24776
14	363	23878
15	375	23099
16	388	22436
17	402	21939
18	415	21441
19	427	20956
20	439	20494
21	452	20094
22	466	19836
23	481	19587
24	495	19322
25	508	19063
26	524	18899
27	538	18687
28	551	18473
29	563	18231
30	575	17989
31	588	17791
32	600	17589
33	612	17394
34	624	17221
35	636	17053
36	649	16895
37	661	16741
38	674	16615
39	686	16478
40	698	16328
41	710	16204
42	721	16068
43	733	15936
44	745	15822
45	757	15704
46	769	15597
47	780	15478
48	791	15366
49	802	15253
50	814	15147
51	825	15047
52	836	14950
53	848	14868
54	873	15014
55	897	15123
56	912	15098
57	928	15084
58	943	15047
59	956	14981
60	967	14894
61	979	14817
62	990	14731
63	1003	14672
64	1015	14613
65	1030	14582
66	1043	14534
67	1058	14507
68	1072	14466
69	1085	14415
70	1099	14387
71	1111	14325
72	1123	14267
73	1136	14227
74	1148	14162
75	1160	14104
76	1172	14052
77	1185	14013
78	1196	13947
79	1208	13894
80	1221	13858
81	1234	13815
82	1245	13760
83	1258	13719
84	1270	13679
85	1282	13628
86	1294	13584
87	1307	13545
88	1319	13505
89	1331	13464
90	1342	13410
91	1354	13365
92	1366	13322
93	1377	13273
94	1389	13239
95	1401	13201
96	1414	13163
97	1426	13127
98	1438	13095
99	1450	13054
100	1462	13019
101	1474	12984
102	1487	12950
103	1500	12923
104	1512	12888
105	1523	12846
106	1535	12818
107	1548	12789
108	1559	12749
109	1571	12717
110	1583	12682
111	1595	12650
112	1607	12617
113	1619	12586
114	1631	12557
115	1643	12524
116	1655	12492
117	1668	12468
118	1681	12446
119	1693	12416
120	1704	12383
121	1715	12347
122	1727	12319
123	1739	12291
124	1752	12267
125	1764	12240
126	1778	12222
127	1789	12187
128	1800	12159
129	1812	12132
130	1824	12105
131	1836	12076
132	1848	12049
133	1860	12026
134	1873	12001
135	1884	11975
136	1897	11951
137	1908	11922
138	1920	11894
139	1932	11868
140	1944	11844
141	1954	11810
142	1966	11785
143	1977	11756
144	1990	11734
145	2001	11709
146	2013	11682
147	2024	11653
148	2035	11624
149	2046	11595
150	2057	11569
151	2069	11544
152	2080	11519
153	2092	11495
154	2104	11470
155	2115	11444
156	2126	11417
157	2137	11392
158	2149	11368
159	2161	11346
160	2172	11321
161	2184	11302
162	2197	11281
163	2210	11268
164	2222	11245
165	2233	11222
166	2245	11201
167	2257	11179
168	2269	11160
169	2280	11136
170	2292	11112
171	2304	11092
172	2316	11071
173	2328	11052
174	2340	11033
175	2351	11009
176	2362	10986
177	2375	10969
178	2385	10942
179	2398	10924
180	2409	10902
181	2420	10879
182	2432	10859
183	2444	10841
184	2456	10822
185	2468	10802
186	2480	10783
187	2492	10764
188	2504	10745
189	2517	10730
190	2530	10716
191	2541	10695
192	2552	10670
193	2563	10649
194	2574	10629
195	2586	10611
196	2599	10595
197	2610	10573
198	2622	10554
199	2633	10533
200	2644	10511
201	2656	10494
202	2668	10475
203	2680	10458
204	2692	10442
205	2705	10426
206	2717	10409
207	2727	10386
208	2738	10364
209	2749	10343
210	2761	10325
211	2772	10304
212	2782	10282
213	2794	10265
214	2805	10244
215	2816	10223
216	2827	10204
217	2839	10187
218	2851	10170
219	2865	10158
220	2877	10141
221	2888	10121
222	2899	10103
223	2911	10084
224	2923	10069
225	2935	10053
226	2948	10039
227	2960	10022
228	2970	10002
229	2982	9984
230	2993	9966
231	3006	9952
232	3017	9932
233	3028	9912
234	3039	9895
235	3051	9876
236	3063	9862
237	3075	9847
238	3087	9829
239	3097	9810
240	3109	9794
241	3121	9778
242	3133	9762
243	3145	9744
244	3158	9732
245	3170	9717
246	3182	9701
247	3194	9685
248	3205	9668
249	3219	9658
250	3230	9641
251	3242	9624
252	3254	9608
253	3268	9598
254	3279	9581
255	3290	9564
256	3303	9549
257	3314	9533
258	3327	9520
259	3339	9505
260	3352	9491
261	3363	9473
262	3375	9459
263	3388	9446
264	3400	9432
265	3411	9414
266	3426	9405
267	3439	9393
268	3451	9378
269	3462	9361
270	3473	9344
271	3486	9330
272	3497	9313
273	3509	9300
274	3522	9287
275	3534	9271
276	3545	9254
277	3558	9240
278	3570	9226
279	3581	9209
280	3595	9198
281	3609	9189
282	3622	9178
283	3635	9165
284	3648	9152
285	3660	9139
286	3672	9123
287	3684	9109
288	3695	9092
289	3708	9078
290	3720	9063
291	3732	9051
292	3744	9034
293	3755	9018
294	3767	9004
295	3779	8988
296	3790	8970
297	3801	8956
298	3813	8940
299	3825	8927
300	3837	8912
301	3849	8897
302	3861	8882
303	3873	8867
304	3885	8853
305	3896	8837
306	3908	8823
307	3920	8807
308	3932	8794
309	3944	8780
310	3956	8764
311	3967	8749
312	3980	8735
313	3993	8724
314	4005	8709
315	4018	8699
316	4032	8687
317	4045	8676
318	4058	8664
319	4070	8650
320	4083	8638
321	4095	8624
322	4106	8607
323	4122	8601
324	4134	8587
325	4146	8573
326	4158	8559
327	4170	8545
328	4182	8530
329	4194	8516
330	4206	8502
331	4220	8492
332	4232	8477
333	4244	8463
334	4258	8452
335	4270	8438
336	4283	8426
337	4295	8412
338	4307	8398
339	4318	8382
340	4330	8369
341	4343	8356
342	4356	8344
343	4367	8328
344	4380	8315
345	4393	8303
346	4405	8290
347	4417	8276
348	4429	8261
349	4441	8247
350	4453	8234
351	4467	8223
352	4478	8208
353	4491	8195
354	4503	8182
355	4514	8167
356	4528	8155
357	4540	8142
358	4553	8129
359	4565	8115
360	4577	8103
361	4588	8086
362	4601	8075
363	4615	8063
364	4627	8050
365	4640	8038
366	4653	8026
367	4666	8013
368	4677	7998
369	4689	7984
370	4700	7969
371	4712	7956
372	4724	7941
373	4736	7927
374	4748	7913
375	4758	7897
376	4771	7884
377	4782	7869
378	4795	7857
379	4807	7843
380	4819	7829
381	4832	7818
382	4845	7805
383	4856	7790
384	4868	7776
385	4880	7763
386	4891	7748
387	4903	7733
388	4914	7718
389	4925	7704
390	4936	7689
391	4948	7675
392	4960	7660
393	4971	7646
394	4983	7633
395	4995	7619
396	5007	7606
397	5019	7592
398	5031	7578
399	5043	7564
400	5054	7550
401	5067	7537
402	5078	7523
403	5091	7511
404	5102	7496
405	5114	7483
406	5126	7469
407	5137	7454
408	5149	7441
409	5160	7425
410	5172	7412
411	5184	7399
412	5196	7385
413	5207	7371
414	5220	7359
415	5231	7344
416	5243	7330
417	5254	7316
418	5265	7301
419	5277	7288
420	5289	7275
421	5301	7261
422	5315	7250
423	5326	7235
424	5337	7221
425	5348	7206
426	5359	7192
427	5371	7178
428	5382	7164
429	5394	7150
430	5405	7136
431	5417	7123
432	5429	7109
433	5440	7094
434	5451	7080
435	5462	7066
436	5473	7051
437	5484	7036
438	5495	7023
439	5506	7008
440	5518	6994
441	5529	6980
442	5540	6966
443	5552	6953
444	5564	6940
445	5578	6929
446	5590	6916
447	5605	6906
448	5617	6893
449	5628	6879
450	5641	6866
451	5653	6854
452	5665	6840
453	5676	6826
454	5688	6813
455	5701	6801
456	5713	6789
457	5728	6778
458	5741	6767
459	5755	6756
460	5767	6742
461	5778	6729
462	5790	6715
463	5803	6704
464	5816	6692
465	5832	6683
466	5845	6671
467	5859	6660
468	5873	6650
469	5888	6640
470	5905	6632
471	5922	6625
472	5935	6613
473	5947	6600
474	5959	6587
475	5974	6576
476	5986	6563
477	5997	6549
478	6009	6536
479	6022	6524
480	6036	6513
481	6047	6499
482	6060	6487
483	6071	6472
484	6082	6459
485	6093	6445
486	6105	6431
487	6117	6417
488	6128	6404
489	6139	6390
490	6150	6375
491	6161	6361
492	6172	6347
493	6183	6333
494	6195	6320
495	6206	6307
496	6218	6293
497	6230	6280
498	6241	6266
499	6252	6252
500	6263	6238
501	6275	6225
502	6286	6211
503	6298	6198
504	6311	6186
505	6321	6171
506	6332	6157
507	6343	6143
508	6354	6130
509	6365	6115
510	6377	6102
511	6388	6088
512	6400	6076
513	6413	6063
514	6425	6051
515	6436	6037
516	6447	6023
517	6457	6009
518	6469	5996
519	6481	5982
520	6492	5969
521	6504	5956
522	6516	5943
523	6527	5929
524	6539	5916
525	6550	5903
526	6562	5889
527	6575	5878
528	6588	5865
529	6598	5851
530	6611	5839
531	6623	5827
532	6635	5814
533	6647	5800
534	6659	5787
535	6670	5774
536	6682	5761
537	6694	5748
538	6705	5734
539	6717	5722
540	6728	5708
541	6739	5694
542	6750	5681
543	6763	5669
544	6775	5656
545	6787	5643
546	6799	5631
547	6810	5617
548	6821	5603
549	6832	5590
550	6843	5576
551	6855	5564
552	6868	5551
553	6883	5541
554	6894	5528
555	6905	5514
556	6917	5501
557	6927	5487
558	6939	5474
559	6950	5461
560	6963	5448
561	6974	5435
562	6987	5423
563	7000	5411
564	7011	5398
565	7022	5384
566	7034	5371
567	7046	5359
568	7058	5346
569	7070	5333
570	7082	5321
571	7093	5308
572	7104	5294
573	7116	5281
574	7130	5270
575	7141	5256
576	7153	5244
577	7165	5231
578	7178	5219
579	7191	5207
580	7203	5194
581	7215	5182
582	7226	5169
583	7238	5155
584	7250	5143
585	7261	5129
586	7272	5116
587	7284	5104
588	7296	5091
589	7308	5078
590	7319	5065
591	7331	5052
592	7343	5040
593	7354	5026
594	7365	5013
595	7376	5000
596	7387	4986
597	7398	4973
598	7409	4960
599	7421	4947
600	7433	4934
601	7444	4921
602	7456	4909
603	7467	4896
604	7478	4882
605	7491	4870
606	7504	4858
607	7515	4845
608	7527	4832
609	7538	4819
610	7550	4806
611	7562	4794
612	7573	4781
613	7583	4767
614	7594	4754
615	7605	4740
616	7616	4727
617	7627	4715
618	7640	4702
619	7652	4689
620	7663	4677
621	7675	4664
622	7686	4651
623	7697	4638
624	7709	4625
625	7720	4612
626	7732	4599
627	7745	4587
628	7758	4575
629	7770	4563
630	7783	4551
631	7795	4539
632	7807	4526
633	7819	4513
634	7830	4500
635	7841	4488
636	7852	4475
637	7863	4461
638	7876	4450
639	7888	4437
640	7899	4423
641	7910	4411
642	7922	4398
643	7932	4384
644	7942	4371
645	7955	4359
646	7966	4346
647	7978	4334
648	7990	4321
649	8002	4309
650	8013	4296
651	8024	4283
652	8037	4270
653	8048	4257
654	8059	4245
655	8071	4232
656	8083	4220
657	8095	4207
658	8108	4195
659	8119	4182
660	8131	4170
661	8141	4156
662	8154	4144
663	8165	4131
664	8175	4118
665	8187	4106
666	8199	4093
667	8213	4082
668	8226	4069
669	8236	4056
670	8247	4044
671	8260	4031
672	8271	4019
673	8284	4007
674	8296	3994
675	8308	3981
676	8318	3968
677	8329	3955
678	8340	3943
679	8352	3930
680	8364	3918
681	8374	3905
682	8386	3892
683	8397	3879
684	8408	3866
685	8419	3853
686	8432	3841
687	8444	3829
688	8455	3816
689	8467	3804
690	8477	3791
691	8487	3777
692	8499	3765
693	8509	3752
694	8521	3739
695	8536	3728
696	8548	3716
697	8560	3703
698	8571	3691
699	8585	3679
700	8597	3667
701	8608	3654
702	8619	3641
703	8630	3628
704	8641	3616
705	8653	3603
706	8666	3591
707	8677	3578
708	8689	3566
709	8700	3553
710	8713	3541
711	8723	3528
712	8733	3515
713	8746	3503
714	8756	3490
715	8767	3477
716	8781	3465
717	8800	3456
718	8818	3446
719	8831	3434
720	8845	3422
721	8859	3411
722	8879	3402
723	8902	3393
724	8915	3381
725	8931	3370
726	8945	3359
727	8957	3346
728	8969	3334
729	8980	3321
730	8993	3309
731	9005	3296
732	9018	3285
733	9031	3272
734	9044	3260
735	9057	3249
736	9071	3237
737	9083	3224
738	9094	3212
739	9109	3200
740	9121	3188
741	9134	3175
742	9145	3163
743	9157	3150
744	9169	3138
745	9182	3126
746	9193	3113
747	9205	3101
748	9218	3089
749	9230	3076
750	9243	3064
751	9256	3052
752	9268	3040
753	9281	3028
754	9293	3015
755	9303	3002
756	9316	2990
757	9326	2977
758	9340	2965
759	9352	2953
760	9363	2940
761	9374	2927
762	9386	2915
763	9398	2903
764	9409	2890
765	9420	2877
766	9431	2865
767	9442	2852
768	9453	2839
769	9464	2826
770	9475	2814
771	9485	2801
772	9498	2789
773	9509	2776
774	9521	2764
775	9532	2751
776	9544	2739
777	9556	2726
778	9569	2714
779	9582	2702
780	9593	2690
781	9604	2677
782	9616	2665
783	9630	2653
784	9642	2640
785	9654	2628
786	9666	2616
787	9677	2603
788	9688	2590
789	9700	2578
790	9712	2566
791	9724	2553
792	9735	2541
793	9746	2528
794	9757	2516
795	9769	2503
796	9780	2491
797	9790	2478
798	9801	2465
799	9812	2453
800	9824	2440
801	9834	2427
802	9847	2415
803	9860	2403
804	9871	2391
805	9884	2379
806	9895	2366
807	9906	2354
808	9916	2341
809	9929	2329
810	9940	2316
811	9952	2304
812	9963	2291
813	9976	2279
814	9988	2267
815	10000	2254
816	10011	2242
817	10023	2230
818	10033	2217
819	10045	2205
820	10057	2192
821	10068	2180
822	10079	2167
823	10090	2155
824	10101	2142
825	10112	2130
826	10125	2118
827	10139	2106
828	10151	2093
829	10163	2081
830	10175	2069
831	10185	2056
832	10197	2044
833	10207	2031
834	10218	2019
835	10232	2007
836	10243	1994
837	10255	1982
838	10268	1970
839	10278	1957
840	10291	1945
841	10303	1933
842	10316	1921
843	10327	1908
844	10340	1896
845	10353	1884
846	10367	1872
847	10380	1860
848	10391	1848
849	10403	1835
850	10416	1823
851	10428	1811
852	10439	1799
853	10450	1786
854	10463	1774
855	10474	1762
856	10487	1749
857	10500	1737
858	10512	1725
859	10524	1713
860	10536	1700
861	10550	1689
862	10560	1676
863	10572	1664
864	10586	1652
865	10598	1639
866	10610	1627
867	10623	1615
868	10635	1603
869	10648	1591
870	10661	1578
871	10672	1566
872	10684	1554
873	10696	1542
874	10709	1529
875	10720	1517
876	10734	1505
877	10747	1493
878	10759	1481
879	10771	1468
880	10784	1456
881	10797	1444
882	10809	1432
883	10821	1420
884	10833	1407
885	10846	1395
886	10859	1383
887	10870	1371
888	10883	1358
889	10896	1346
890	10909	1334
891	10923	1322
892	10937	1310
893	10949	1298
894	10962	1286
895	10988	1275
896	11000	1263
897	11013	1250
898	11026	1238
899	11040	1226
900	11051	1214
901	11062	1201
902	11075	1189
903	11087	1177
904	11099	1165
905	11111	1152
906	11124	1140
907	11137	1128
908	11150	1116
909	11162	1103
910	11174	1091
911	11186	1079
912	11198	1067
913	11211	1054
914	11224	1042
915	11237	1030
916	11248	1018
917	11260	1005
918	11272	993
919	11282	981
920	11294	968
921	11305	956
922	11317	944
923	11327	931
924	11339	919
925	11351	907
926	11363	894
927	11376	882
928	11387	870
929	11398	857
930	11409	845
931	11420	833
932	11432	820
933	11443	808
934	11455	796
935	11467	784
936	11477	771
937	11488	759
938	11500	747
939	11510	734
940	11522	722
941	11535	710
942	11547	697
943	11559	685
944	11571	673
945	11582	661
946	11593	648
947	11604	636
948	11615	624
949	11627	611
950	11639	599
951	11650	587
952	11661	575
953	11672	562
954	11685	550
955	11697	538
956	11710	526
957	11722	513
958	11734	501
959	11746	489
960	11758	477
961	11769	464
962	11782	452
963	11793	440
964	11805	428
965	11815	415
966	11827	403
967	11838	391
968	11849	379
969	11860	366
970	11872	354
971	11883	342
972	11897	330
973	11908	317
974	11920	305
975	11932	293
976	11944	281
977	11955	268
978	11967	256
979	11980	244
980	11990	232
981	12001	219
982	12013	207
983	12025	195
984	12037	183
985	12048	171
986	12061	158
987	12075	146
988	12088	134
989	12103	122
990	12117	110
991	12131	97
992	12145	85
993	12161	73
994	12175	61
995	12189	48
996	12204	36
997	12217	24
998	12229	12
999	12239	0
