iter	RMSE
0	3707.332036
1	3415.858885
2	3143.439776
3	2901.715185
4	2677.579266
5	2468.255337
6	2284.876706
7	2113.868175
8	1965.341082
9	1829.065925
10	1708.09927
11	1594.612327
12	1490.03744
13	1396.30637
14	1313.851726
15	1239.280546
16	1172.320467
17	1113.601165
18	1059.188047
19	1009.267716
20	966.9616379
21	929.4582538
22	895.9552585
23	865.261378
24	839.565044
25	815.3347528
26	792.5627971
27	772.9219124
28	756.6162298
29	741.9210745
30	728.6306671
31	715.6885746
32	705.2170627
33	695.4594356
34	686.3782626
35	678.7564107
36	671.2952568
37	665.3825341
38	659.6403568
39	654.0483237
40	649.1588278
41	644.7649709
42	641.0248951
43	637.5761603
44	634.3235734
45	631.1146639
46	628.5056926
47	626.2084801
48	623.7617027
49	621.3310197
50	618.8664258
51	616.7755322
52	615.12556
53	613.6270964
54	611.6447893
55	610.4165443
56	608.8786825
57	607.5994132
58	606.4588246
59	605.3883345
60	604.075654
61	602.956753
62	602.3131157
63	600.9981907
64	600.3285253
65	599.5242726
66	598.5227887
67	597.8160758
68	597.0315925
69	596.282961
70	595.6477279
71	594.9030493
72	594.1719524
73	593.7481344
74	593.1216541
75	592.6047473
76	592.2677649
77	591.4947714
78	590.9881943
79	590.3878184
80	590.0050525
81	589.6974551
82	589.2704483
83	588.8942238
84	588.579978
85	588.2730991
86	587.9832468
87	587.6265365
88	587.1658384
89	586.9002705
90	586.4698286
91	586.1171839
92	585.9462661
93	585.6282045
94	585.3556683
95	585.1500285
96	584.973569
97	584.6900763
98	584.5070298
99	584.1338685
100	583.9995429
101	583.7451614
102	583.4080465
103	583.173777
104	583.0058832
105	582.7916805
106	582.4745606
107	582.16821
108	581.991216
109	581.8229661
110	581.667454
111	581.5307417
112	581.3762181
113	581.1274623
114	580.7787832
115	580.5549851
116	580.1166241
117	579.9407301
118	579.732427
119	579.5991274
120	579.4556684
121	579.2533864
122	579.1252823
123	578.9767155
124	578.7481674
125	578.6778179
126	578.5005974
127	578.3716766
128	578.0980443
129	577.9790251
130	577.7935908
131	577.6449224
132	577.5688313
133	577.490518
134	577.2507887
135	577.0609529
136	576.9543254
137	576.7798038
138	576.6761392
139	576.5900015
140	576.3463159
141	576.2107829
142	576.1210355
143	575.8849626
144	575.7485126
145	575.6497363
146	575.4628055
147	575.345505
148	575.1961705
149	575.0694908
150	574.9525524
151	574.7280312
152	574.5302948
153	574.3945912
154	574.2175776
155	574.0795657
156	573.9931242
157	573.8496319
158	573.7795847
159	573.7002323
160	573.5800622
161	573.3877254
162	573.2469209
163	573.1084183
164	573.0179042
165	572.8755686
166	572.6493816
167	572.5351558
168	572.4116904
169	572.298575
170	572.2518836
171	572.1011672
172	571.9819655
173	571.9026279
174	571.7448997
175	571.5904673
176	571.4804547
177	571.3591536
178	571.2508164
179	571.0546778
180	570.9776158
181	570.8090641
182	570.6665148
183	570.5582172
184	570.4475611
185	570.3361166
186	570.1988048
187	570.1568753
188	570.0025348
189	569.8867016
190	569.7158563
191	569.5726541
192	569.4302473
193	569.3468169
194	569.2588191
195	569.1740963
196	569.1098085
197	569.0447988
198	568.8901824
199	568.7949773
200	568.6717924
201	568.5887962
202	568.4639796
203	568.363552
204	568.220527
205	568.0797848
206	567.9759423
207	567.8473906
208	567.7308881
209	567.6075311
210	567.5456966
211	567.4102428
212	567.2591533
213	567.1403559
214	567.0725893
215	566.9618048
216	566.9316264
217	566.8241892
218	566.8051517
219	566.7286162
220	566.6490735
221	566.4837615
222	566.3495232
223	566.2691535
224	566.1593371
225	566.0756628
226	565.9931161
227	565.8820621
228	565.8440747
229	565.7631945
230	565.649183
231	565.6149884
232	565.5955293
233	565.5014955
234	565.4349862
235	565.3750467
236	565.2331308
237	565.1686975
238	565.0769805
239	565.0305994
240	564.9285406
241	564.8323169
242	564.7041476
243	564.6603774
244	564.6037933
245	564.5007635
246	564.4293376
247	564.388551
248	564.3290785
249	564.2685294
250	564.2418549
251	564.0868907
252	563.9644086
253	563.837796
254	563.7676072
255	563.6628752
256	563.5748211
257	563.3935133
258	563.3435335
259	563.2546568
260	563.163302
261	563.1108
262	563.012625
263	562.9249834
264	562.8424318
265	562.7817291
266	562.6756353
267	562.6005917
268	562.4710474
269	562.3429817
270	562.2189194
271	562.1518103
272	562.0344231
273	561.9451947
