iter	Passed	Remaining
0	155	155622
1	172	85882
2	187	62152
3	201	50128
4	216	43021
5	230	38186
6	244	34628
7	257	31930
8	271	29892
9	283	28073
10	296	26642
11	308	25434
12	321	24420
13	335	23619
14	347	22843
15	359	22114
16	370	21430
17	382	20860
18	394	20387
19	407	19949
20	418	19526
21	430	19153
22	442	18800
23	454	18484
24	466	18182
25	478	17936
26	491	17718
27	503	17492
28	516	17286
29	529	17117
30	542	16957
31	555	16808
32	567	16643
33	580	16486
34	593	16370
35	605	16218
36	616	16052
37	628	15901
38	639	15769
39	652	15654
40	663	15514
41	675	15400
42	686	15286
43	698	15176
44	708	15038
45	721	14959
46	733	14872
47	746	14799
48	757	14695
49	768	14609
50	780	14526
51	791	14428
52	803	14355
53	814	14272
54	826	14196
55	836	14107
56	848	14039
57	867	14088
58	879	14029
59	891	13960
60	902	13898
61	914	13839
62	924	13754
63	935	13685
64	947	13632
65	959	13574
66	970	13519
67	982	13470
68	993	13411
69	1005	13356
70	1017	13311
71	1030	13275
72	1041	13228
73	1052	13176
74	1065	13137
75	1076	13093
76	1087	13031
77	1100	13005
78	1113	12980
79	1130	12995
80	1149	13036
81	1169	13090
82	1190	13149
83	1205	13149
84	1218	13111
85	1230	13079
86	1244	13063
87	1258	13047
88	1271	13011
89	1284	12984
90	1297	12960
91	1309	12923
92	1320	12879
93	1331	12830
94	1344	12810
95	1355	12765
96	1367	12728
97	1379	12700
98	1393	12679
99	1406	12656
100	1416	12612
101	1429	12584
102	1441	12555
103	1454	12530
104	1466	12502
105	1478	12470
106	1490	12442
107	1502	12410
108	1513	12371
109	1525	12340
110	1537	12310
111	1548	12277
112	1559	12243
113	1572	12221
114	1585	12200
115	1599	12187
116	1610	12156
117	1622	12124
118	1633	12096
119	1644	12063
120	1656	12035
121	1668	12005
122	1678	11969
123	1690	11942
124	1701	11913
125	1712	11881
126	1724	11854
127	1737	11836
128	1749	11812
129	1761	11785
130	1772	11759
131	1783	11730
132	1794	11696
133	1804	11664
134	1816	11636
135	1827	11608
136	1838	11581
137	1850	11559
138	1861	11531
139	1872	11502
140	1883	11473
141	1894	11446
142	1905	11419
143	1916	11391
144	1927	11367
145	1938	11337
146	1950	11315
147	1961	11292
148	1972	11263
149	1983	11240
150	1995	11217
151	2006	11192
152	2018	11175
153	2030	11152
154	2041	11128
155	2051	11099
156	2062	11075
157	2074	11053
158	2084	11025
159	2096	11006
160	2107	10984
161	2118	10959
162	2129	10933
163	2141	10915
164	2152	10891
165	2163	10871
166	2175	10851
167	2187	10835
168	2199	10812
169	2212	10802
170	2223	10779
171	2235	10762
172	2246	10740
173	2257	10716
174	2268	10693
175	2280	10675
176	2291	10656
177	2302	10634
178	2314	10617
179	2327	10601
180	2338	10579
181	2349	10558
182	2360	10538
183	2370	10514
184	2382	10496
185	2395	10482
186	2408	10471
187	2420	10453
188	2432	10437
189	2443	10418
190	2455	10399
191	2465	10377
192	2478	10362
193	2491	10351
194	2503	10336
195	2515	10318
196	2527	10301
197	2538	10280
198	2548	10258
199	2560	10242
200	2572	10226
201	2584	10209
202	2596	10193
203	2608	10177
204	2619	10158
205	2630	10138
206	2642	10122
207	2654	10109
208	2666	10091
209	2677	10073
210	2689	10057
211	2701	10040
212	2711	10018
213	2723	10002
214	2735	9988
215	2746	9968
216	2757	9950
217	2769	9935
218	2780	9914
219	2791	9895
220	2803	9882
221	2815	9865
222	2826	9847
223	2839	9836
224	2850	9819
225	2862	9802
226	2873	9784
227	2884	9767
228	2895	9749
229	2907	9733
230	2918	9717
231	2931	9702
232	2941	9683
233	2954	9670
234	2965	9652
235	2976	9635
236	2987	9618
237	3000	9606
238	3011	9588
239	3021	9568
240	3032	9552
241	3043	9534
242	3055	9518
243	3066	9499
244	3077	9484
245	3088	9466
246	3099	9450
247	3110	9431
248	3121	9414
249	3132	9397
250	3144	9382
251	3155	9366
252	3166	9350
253	3178	9334
254	3189	9317
255	3201	9305
256	3214	9293
257	3225	9277
258	3236	9260
259	3248	9245
260	3258	9227
261	3270	9212
262	3282	9199
263	3293	9183
264	3305	9167
265	3317	9154
266	3329	9139
267	3339	9121
268	3350	9105
269	3362	9090
270	3373	9075
271	3385	9060
272	3396	9045
273	3408	9030
274	3418	9012
275	3430	8998
276	3443	8986
277	3454	8971
278	3465	8955
279	3476	8939
280	3487	8922
281	3497	8904
282	3508	8889
283	3520	8874
284	3531	8859
285	3543	8845
286	3555	8832
287	3566	8818
288	3578	8803
289	3589	8787
290	3599	8769
291	3610	8755
292	3622	8740
293	3632	8724
294	3644	8709
295	3656	8697
296	3666	8679
297	3677	8664
298	3689	8649
299	3702	8638
300	3713	8623
301	3724	8608
302	3735	8592
303	3746	8576
304	3757	8562
305	3769	8549
306	3780	8533
307	3793	8523
308	3805	8509
309	3817	8496
310	3827	8480
311	3839	8465
312	3850	8452
313	3861	8436
314	3873	8423
315	3885	8410
316	3897	8396
317	3906	8378
318	3917	8364
319	3928	8349
320	3939	8333
321	3952	8321
322	3964	8309
323	3975	8295
324	3986	8279
325	3997	8265
326	4007	8248
327	4019	8234
328	4030	8220
329	4042	8206
330	4053	8193
331	4064	8177
332	4075	8162
333	4086	8149
334	4098	8136
335	4109	8121
336	4119	8105
337	4131	8091
338	4142	8077
339	4152	8061
340	4163	8046
341	4174	8032
342	4186	8019
343	4199	8008
344	4210	7994
345	4221	7979
346	4233	7967
347	4245	7954
348	4256	7940
349	4268	7928
350	4281	7916
351	4292	7901
352	4302	7886
353	4313	7872
354	4324	7856
355	4336	7843
356	4347	7829
357	4358	7816
358	4369	7800
359	4380	7787
360	4391	7773
361	4401	7758
362	4414	7746
363	4426	7734
364	4437	7720
365	4449	7707
366	4460	7692
367	4470	7678
368	4481	7663
369	4492	7648
370	4502	7634
371	4514	7620
372	4525	7606
373	4535	7590
374	4547	7578
375	4557	7564
376	4568	7549
377	4579	7536
378	4592	7525
379	4604	7512
380	4615	7498
381	4627	7486
382	4638	7472
383	4648	7456
384	4659	7443
385	4670	7428
386	4679	7412
387	4690	7398
388	4702	7385
389	4713	7372
390	4726	7361
391	4738	7349
392	4749	7336
393	4760	7322
394	4773	7311
395	4784	7297
396	4795	7283
397	4807	7270
398	4818	7257
399	4829	7244
400	4840	7230
401	4850	7215
402	4860	7200
403	4872	7188
404	4883	7174
405	4894	7161
406	4905	7147
407	4917	7135
408	4928	7121
409	4939	7107
410	4950	7094
411	4960	7079
412	4972	7067
413	4984	7055
414	4996	7043
415	5007	7029
416	5019	7017
417	5031	7005
418	5040	6989
419	5051	6976
420	5063	6963
421	5074	6950
422	5086	6937
423	5099	6926
424	5109	6913
425	5121	6901
426	5133	6888
427	5143	6874
428	5153	6859
429	5166	6848
430	5177	6835
431	5189	6822
432	5200	6810
433	5211	6796
434	5223	6784
435	5234	6771
436	5245	6757
437	5255	6743
438	5267	6731
439	5278	6718
440	5289	6704
441	5300	6691
442	5311	6677
443	5323	6666
444	5335	6654
445	5347	6642
446	5358	6628
447	5368	6614
448	5378	6600
449	5388	6586
450	5400	6573
451	5411	6560
452	5421	6546
453	5434	6535
454	5444	6521
455	5455	6508
456	5466	6495
457	5477	6481
458	5487	6468
459	5499	6455
460	5510	6442
461	5520	6428
462	5531	6415
463	5544	6404
464	5554	6391
465	5566	6378
466	5578	6366
467	5590	6355
468	5601	6341
469	5611	6328
470	5623	6315
471	5633	6302
472	5646	6291
473	5657	6278
474	5668	6265
475	5679	6252
476	5689	6238
477	5700	6225
478	5712	6213
479	5724	6201
480	5735	6189
481	5745	6174
482	5757	6162
483	5767	6149
484	5778	6136
485	5789	6123
486	5801	6110
487	5812	6098
488	5824	6086
489	5835	6073
490	5845	6060
491	5856	6047
492	5868	6034
493	5878	6021
494	5891	6010
495	5902	5997
496	5913	5984
497	5939	5987
498	5950	5974
499	5961	5961
500	5973	5949
501	5983	5936
502	5993	5922
503	6006	5911
504	6019	5899
505	6030	5887
